Date,Start_Hour,End_Hour,Source,Day_of_Year,Day_Name,Month_Name,Season,Production
6/28/2022,22,23,Wind,179.0,Tuesday,June,Summer,1624
9/7/2020,14,15,Solar,251.0,Monday,September,Fall,5181
10/8/2024,11,12,Wind,282.0,Tuesday,October,Fall,13164
8/7/2021,17,18,Wind,219.0,Saturday,August,Summer,11515
11/27/2022,17,18,Wind,331.0,Sunday,November,Fall,7195
9/4/2025,1,2,Wind,247.0,Thursday,September,Fall,8949
12/6/2022,11,12,Solar,340.0,Tuesday,December,Winter,3407
9/25/2025,21,22,Wind,268.0,Thursday,September,Fall,1987
11/22/2023,6,7,Wind,326.0,Wednesday,November,Fall,7111
8/19/2020,1,2,Wind,232.0,Wednesday,August,Summer,883
4/12/2025,21,22,Wind,102.0,Saturday,April,Spring,9193
2/23/2022,5,6,Wind,54.0,Wednesday,February,Winter,1093
02/27/2028,6,7,Wind,230.0,Monday,August,Summer,40000
8/20/2023,11,12,Solar,232.0,Sunday,August,Summer,6200
02/27/2028,11,12,xyz,21.0,Sunday,January,Winter,-100
7/26/2020,9,10,Wind,208.0,Sunday,July,Summer,4665
7/2/2022,11,xyz,Solar,xyz,Saturday,July,Summer,6792
8/9/2025,8,9,Solar,221.0,Saturday,August,Summer,3021
5/4/2023,14,15,Solar,124.0,Thursday,May,Spring,11420
3/15/2021,5,6,Wind,74.0,Monday,March,Spring,10760
6/23/2021,11,12,Solar,174.0,Wednesday,June,Summer,4038
4/8/2024,8,9,Wind,99.0,Monday,April,Spring,4766
8/6/2024,5,6,Wind,219.0,Tuesday,August,Summer,938
6/2/2020,12,13,Solar,154.0,Tuesday,June,Summer,3793
3/30/2025,13,14,Wind,89.0,Sunday,March,xyz,8264
1/1/2024,22,23,Wind,1.0,Monday,January,Winter,16858
1/9/2025,8,9,Wind,9.0,Thursday,January,Winter,14767
7/29/2023,12,13,Wind,210.0,Saturday,July,Summer,40000
8/31/2021,6,7,Wind,243.0,Tuesday,August,Summer,3287
9/24/2020,7,8,Wind,268.0,Thursday,September,Fall,5609
1/17/2021,2,3,Wind,17.0,Sunday,January,Winter,4970
2/28/2023,19,20,Wind,59.0,Tuesday,February,Winter,5823
10/6/2023,4,5,Wind,279.0,Friday,October,Fall,1372
10/21/2021,16,17,Wind,294.0,Thursday,October,Fall,10293
12/1/2024,15,16,Wind,336.0,Sunday,December,Winter,8138
5/4/2021,2,3,Wind,124.0,Tuesday,May,Spring,12948
4/25/2021,6,7,Wind,115.0,Sunday,April,Spring,8420
10/10/2020,4,5,Wind,284.0,Saturday,October,Fall,2632
2/11/2022,4,5,Wind,42.0,Friday,February,Winter,4216
5/21/2021,2,3,Wind,141.0,Friday,May,Spring,9726
3/6/2020,11,12,Wind,66.0,Friday,March,Spring,8498
4/20/2020,5,6,Wind,111.0,Monday,April,Spring,5088
8/29/2021,14,15,Solar,241.0,Sunday,August,Summer,7476
8/8/2023,9,10,Solar,220.0,Tuesday,August,Summer,4899
5/20/2025,3,4,Wind,140.0,Tuesday,May,Spring,5468
1/9/2021,12,13,Wind,9.0,Saturday,January,Winter,5558
11/5/2022,7,8,Wind,309.0,Saturday,November,Fall,3045
12/11/2020,22,23,Wind,346.0,Friday,December,Winter,5999
8/19/2025,2,3,Wind,231.0,Tuesday,August,Summer,2638
6/4/2024,9,10,Solar,156.0,Tuesday,June,Summer,4761
9/11/2023,14,15,Solar,254.0,Monday,September,Fall,7014
7/8/2023,5,6,Wind,189.0,Saturday,July,Summer,4195
10/26/2024,18,19,Wind,300.0,Saturday,October,Fall,1012
1/7/2021,0,1,Wind,xyz,,January,Winter,407
1/3/2024,6,7,Wind,3.0,Wednesday,January,Winter,16845
3/12/2021,16,17,Wind,71.0,Friday,March,Spring,16050
7/22/2023,3,4,Wind,203.0,Saturday,July,Summer,1631
3/17/2020,22,23,Wind,77.0,Tuesday,March,Spring,675
11/15/2023,13,14,Wind,319.0,Wednesday,November,Fall,11857
2/10/2023,17,18,Wind,xyz,Friday,xyz,Winter,
2/2/2023,3,4,Wind,33.0,Thursday,February,Winter,6594
7/25/2023,19,20,Wind,206.0,Tuesday,July,Summer,5503
3/10/2024,16,17,Solar,70.0,Sunday,March,Spring,2563
4/22/2021,20,21,Wind,112.0,Thursday,April,Spring,5139
1/28/2023,2,3,Wind,28.0,Saturday,January,Winter,5702
12/31/2022,8,9,Wind,365.0,Saturday,December,Winter,16030
7/7/2020,17,18,Solar,189.0,Tuesday,July,Summer,4393
8/13/2021,9,10,Solar,225.0,Friday,August,Summer,2218
4/10/2024,2,3,Wind,101.0,Wednesday,April,Spring,6858
2/25/2021,7,8,Wind,56.0,Thursday,February,Winter,4252
6/20/2022,10,11,Solar,171.0,Monday,June,Summer,5793
9/22/2020,23,0,Wind,266.0,Tuesday,September,Fall,2302
8/20/2025,5,6,Wind,232.0,Wednesday,August,Summer,3201
10/1/2022,8,9,Wind,274.0,Saturday,October,Fall,11144
8/8/2024,2,3,Wind,221.0,Thursday,August,Summer,1329
5/19/2023,8,9,Wind,139.0,Friday,May,Spring,4784
11/25/2023,8,9,Wind,329.0,Saturday,November,Fall,6315
9/20/2025,14,15,Wind,263.0,Saturday,September,Fall,14698
1/23/2020,23,0,Wind,23.0,Thursday,January,Winter,2865
3/9/2022,0,1,Wind,68.0,Wednesday,March,Spring,4802
1/6/2020,14,15,Wind,6.0,Monday,January,Winter,5009
3/28/2025,10,11,Solar,87.0,Friday,March,Spring,9526
8/16/2023,2,3,Wind,228.0,Wednesday,August,Summer,1306
3/23/2025,16,17,Wind,82.0,Sunday,March,Spring,5247
11/19/2020,15,16,Wind,324.0,Thursday,November,Fall,9334
10/14/2023,21,22,Wind,287.0,Saturday,October,Fall,1765
11/2/2024,15,16,Wind,307.0,Saturday,November,Fall,5739
1/5/2024,2,3,Wind,5.0,Friday,January,Winter,11446
2/10/2024,0,1,Wind,41.0,Saturday,February,Winter,7025
2/25/2024,12,13,Wind,56.0,Sunday,February,Winter,11989
6/18/2021,21,22,Wind,169.0,Friday,June,Summer,3563
10/4/2025,5,6,Wind,277.0,Saturday,October,Fall,17478
5/23/2023,17,18,Wind,xyz,Tuesday,May,Spring,40000
02/27/2028,3,4,Wind,34.0,,February,Winter,-100
5/21/2020,9,10,Solar,142.0,Thursday,May,Spring,2543
11/29/2025,7,8,Wind,333.0,Saturday,November,Fall,9125
9/7/2021,8,9,Wind,250.0,Tuesday,September,Fall,3966
10/2/2024,19,20,Wind,276.0,Wednesday,October,Fall,2911
6/4/2025,6,7,Wind,155.0,Wednesday,June,Summer,2858
11/13/2021,23,0,Wind,317.0,Saturday,November,Fall,2297
1/5/2025,17,18,Wind,5.0,Sunday,January,Winter,18245
7/31/2022,9,10,Solar,212.0,Sunday,July,Summer,4525
2/28/2025,1,2,Wind,59.0,Friday,February,Winter,4432
3/4/2022,16,17,Wind,63.0,Friday,March,Spring,4516
8/12/2024,9,10,Wind,225.0,Monday,August,Summer,5881
9/12/2024,20,21,Wind,256.0,Thursday,September,Fall,3614
7/4/2021,9,10,Wind,185.0,Sunday,July,Summer,2396
10/17/2024,0,1,Wind,291.0,Thursday,October,Fall,9289
8/18/2023,20,21,Wind,230.0,Friday,August,Summer,2496
02/27/2028,2,3,Wind,74.0,Wednesday,March,Spring,-100
9/25/2021,14,15,Solar,268.0,Saturday,September,xyz,xyz
6/12/2024,5,6,Wind,164.0,Wednesday,June,Summer,1791
5/8/2023,19,20,Wind,128.0,Monday,May,Spring,2549
3/11/2025,14,15,Solar,70.0,Tuesday,March,Spring,6942
5/29/2021,0,1,Wind,149.0,Saturday,May,Spring,3598
2/17/2020,8,9,Wind,48.0,Monday,February,Winter,7603
6/28/2021,xyz,xyz,Wind,179.0,Monday,June,Summer,828
12/3/2020,4,5,Wind,338.0,Thursday,December,Winter,3648
02/27/2028,12,13,Solar,280.0,Friday,October,Fall,-100
9/15/2022,3,4,Wind,258.0,Thursday,September,Fall,1595
5/12/2022,22,23,Wind,132.0,Thursday,May,Spring,2068
6/21/2025,8,9,Solar,172.0,Saturday,June,Summer,5294
2/16/2023,2,3,Wind,47.0,Thursday,February,Winter,4131
10/17/2023,3,4,Wind,290.0,Tuesday,October,Fall,7401
6/16/2021,12,13,Solar,167.0,Wednesday,June,Summer,4843
4/26/2022,15,16,Solar,116.0,Tuesday,April,Spring,7804
5/15/2022,1,2,Wind,135.0,Sunday,May,Spring,4260
5/3/2021,5,6,Wind,123.0,Monday,May,Spring,747
4/16/2024,22,23,Wind,107.0,Tuesday,April,Spring,7010
10/10/2025,3,4,Wind,283.0,Friday,October,Fall,2667
3/28/2025,11,12,Solar,87.0,Friday,March,Spring,10517
,1,2,Wind,293.0,Thursday,October,Fall,5595
9/3/2020,9,10,Wind,247.0,Thursday,September,Fall,3658
8/20/2025,14,15,Solar,232.0,Wednesday,August,Summer,9173
11/3/2025,14,15,Wind,307.0,Monday,November,Fall,13162
xyz,1,2,Wind,3.0,Wednesday,January,Winter,15788
8/19/2022,16,17,Wind,231.0,Friday,August,Summer,8143
xyz,22,23,Wind,,Friday,March,Spring,-100
7/19/2022,11,12,Solar,200.0,Tuesday,July,Summer,8527
6/8/2024,11,12,Solar,160.0,Saturday,June,Summer,3333
4/2/2025,16,17,Wind,92.0,Wednesday,April,Spring,9966
02/27/2028,6,7,,207.0,Tuesday,July,Summer,-100
3/16/2023,19,20,Wind,75.0,Thursday,March,Spring,9414
12/6/2021,18,19,Wind,340.0,Monday,December,Winter,10526
8/15/2024,12,13,Solar,228.0,Thursday,August,Summer,8801
6/8/2020,9,10,Solar,160.0,Monday,June,Summer,2884
6/8/2023,0,1,Wind,159.0,Thursday,June,Summer,5369
12/27/2020,5,6,Wind,362.0,Sunday,December,Winter,11810
5/17/2021,19,20,Wind,137.0,Monday,May,Spring,10935
12/5/2024,7,8,Wind,340.0,Thursday,December,Winter,12956
8/29/2022,7,8,Wind,241.0,Monday,August,Summer,4703
4/8/2023,4,5,Wind,98.0,Saturday,April,Spring,3272
2/24/2023,21,22,Wind,55.0,Friday,February,Winter,4489
10/7/2022,14,15,Solar,280.0,Friday,October,Fall,5802
5/20/2023,2,3,Wind,140.0,Saturday,May,Spring,7421
9/16/2020,7,8,Wind,260.0,Wednesday,September,Fall,588
12/5/2022,17,18,Wind,339.0,Monday,December,Winter,1054
02/27/2028,16,17,Wind,xyz,xyz,February,Winter,-100
7/21/2023,1,2,Wind,202.0,Friday,July,Summer,2273
10/17/2021,11,12,Solar,290.0,Sunday,October,Fall,4304
7/2/2023,6,7,Wind,183.0,Sunday,July,Summer,2950
5/23/2023,12,13,Wind,143.0,Tuesday,May,Spring,10954
4/5/2021,12,13,Wind,95.0,Monday,April,Spring,11748
5/19/2022,1,2,Wind,139.0,Thursday,May,Spring,4866
3/8/2020,5,6,Wind,68.0,Sunday,,Spring,40000
5/28/2023,8,9,Solar,148.0,Sunday,May,Spring,4487
9/24/2021,11,12,Solar,267.0,Friday,,Fall,4632
3/25/2020,0,1,Wind,85.0,Wednesday,March,Spring,7357
2/22/2020,3,4,Wind,53.0,Saturday,February,Winter,7930
5/7/2021,2,3,Wind,127.0,Friday,May,Spring,3293
8/12/2025,2,3,Wind,224.0,Tuesday,August,Summer,5275
6/6/2023,20,21,Wind,157.0,Tuesday,June,Summer,4299
4/2/2022,6,7,Wind,92.0,Saturday,April,Spring,9372
6/7/2022,3,4,Wind,158.0,Tuesday,June,Summer,2282
9/15/2022,11,12,Solar,258.0,Thursday,September,Fall,5250
10/28/2025,13,14,Wind,301.0,Tuesday,October,Fall,16066
8/20/2021,6,xyz,Wind,232.0,Friday,August,Summer,543
7/30/2024,2,3,Wind,212.0,Tuesday,July,Summer,1762
8/12/2020,12,13,Solar,225.0,Wednesday,August,Summer,4451
11/10/2022,5,6,Wind,314.0,Thursday,November,Fall,3345
3/13/2021,22,23,Wind,72.0,Saturday,March,Spring,11641
10/18/2023,14,15,Wind,291.0,Wednesday,October,Fall,13475
02/27/2028,1,2,Wind,214.0,Wednesday,August,Summer,-100
6/15/2020,18,19,Wind,167.0,Monday,June,Summer,4073
3/28/2023,14,15,Solar,87.0,Tuesday,March,Spring,11267
8/31/2024,19,20,Wind,244.0,Saturday,August,Summer,3832
5/28/2023,5,6,Wind,148.0,Sunday,May,Spring,4223
10/14/2021,0,1,Wind,287.0,Thursday,October,Fall,2062
12/9/2023,16,17,Wind,343.0,Saturday,December,Winter,17756
6/25/2024,19,20,Wind,177.0,Tuesday,June,Summer,4134
1/1/2020,17,18,Wind,1.0,Wednesday,January,Winter,950
5/9/2020,10,11,Solar,130.0,Saturday,May,Spring,2779
xyz,8,9,Wind,235.0,Monday,August,Summer,40000
12/12/2024,3,4,,347.0,Thursday,December,Winter,3320
2/28/2025,15,16,Solar,59.0,Friday,February,Winter,8984
9/7/2023,xyz,12,Solar,250.0,Thursday,September,Fall,6790
12/20/2021,1,2,Wind,354.0,Monday,December,Winter,3468
7/31/2024,15,16,Solar,213.0,Wednesday,July,Summer,7423
12/21/2023,17,18,Wind,355.0,Thursday,December,Winter,17924
1/4/2025,0,1,Wind,4.0,Saturday,January,Winter,3125
6/11/2024,10,11,Solar,163.0,Tuesday,June,Summer,6314
6/22/2020,21,22,Wind,174.0,,June,xyz,1106
5/8/2024,18,19,Wind,129.0,Wednesday,May,Spring,6476
10/31/2021,11,12,Wind,304.0,Sunday,October,Fall,14547
7/1/2024,14,15,Solar,183.0,Monday,July,Summer,9311
11/1/2025,5,6,Wind,305.0,Saturday,November,Fall,14349
12/2/2024,3,4,Wind,337.0,Monday,December,Winter,7323
2/5/2024,9,10,Wind,36.0,Monday,February,Winter,6943
10/9/2021,22,23,Wind,282.0,Saturday,October,Fall,3468
1/23/2025,2,3,Wind,23.0,Thursday,January,Winter,7092
10/7/2022,8,9,Wind,280.0,Friday,October,Fall,1537
2/3/2022,20,21,Wind,xyz,Thursday,February,Winter,3334
4/11/2022,7,8,Wind,101.0,Monday,April,Spring,10701
5/30/2021,6,7,Wind,150.0,Sunday,May,Spring,4412
2/16/2025,23,0,Wind,47.0,Sunday,February,Winter,4658
6/17/2024,3,4,Wind,169.0,Monday,June,Summer,2828
12/12/2022,13,14,Wind,346.0,Monday,December,Winter,3797
4/20/2022,1,2,Wind,110.0,Wednesday,April,Spring,4805
7/8/2021,15,16,Solar,189.0,Thursday,July,Summer,5525
10/17/2025,4,5,Wind,290.0,Friday,October,Fall,4984
10/21/2020,18,19,Wind,295.0,Wednesday,October,Fall,10119
9/10/2021,19,20,Wind,253.0,Friday,September,Fall,2608
2/8/2020,18,19,Wind,39.0,Saturday,xyz,Winter,2674
10/23/2020,16,17,Wind,297.0,Friday,October,Fall,5436
2/10/2024,4,5,Wind,41.0,Saturday,February,Winter,3943
7/28/2023,2,3,Wind,209.0,Friday,July,Summer,3917
5/3/2021,6,7,Wind,123.0,Monday,May,Spring,812
1/13/2022,13,14,Solar,13.0,Thursday,January,Winter,4866
11/22/2020,11,12,Solar,327.0,Sunday,November,Fall,3509
2/15/2025,9,10,Wind,46.0,Saturday,February,Winter,7662
7/6/2023,15,16,Solar,187.0,Thursday,July,Summer,6804
4/30/2021,6,7,Wind,120.0,Friday,April,Spring,1385
5/9/2023,20,21,Wind,129.0,Tuesday,May,Spring,6608
3/13/2024,12,13,Solar,73.0,Wednesday,March,Spring,10066
9/22/2021,2,3,Wind,265.0,Wednesday,September,Fall,2315
12/14/2022,4,5,Wind,348.0,Wednesday,December,Winter,1893
4/30/2025,13,14,Solar,120.0,xyz,April,xyz,5745
3/16/2022,11,12,Wind,75.0,Wednesday,March,Spring,4889
1/27/2024,15,16,Solar,27.0,Saturday,January,Winter,4025
6/3/2020,0,1,Wind,155.0,Wednesday,June,Summer,1882
11/19/2022,6,7,Wind,323.0,Saturday,November,Fall,2343
4/26/2025,4,5,Wind,116.0,Saturday,April,Spring,5048
8/25/2025,5,6,Wind,237.0,Monday,August,Summer,2868
5/2/2023,13,14,Solar,xyz,Tuesday,May,,40000
2/2/2025,4,5,Wind,33.0,Sunday,February,Winter,2408
9/5/2025,17,18,Solar,248.0,Friday,September,Fall,6397
4/24/2025,10,11,Solar,114.0,Thursday,April,Spring,7006
7/29/2020,18,19,Solar,211.0,Wednesday,July,Summer,2071
4/7/2020,5,6,Wind,98.0,Tuesday,April,Spring,1990
11/1/2024,6,7,Wind,306.0,Friday,November,Fall,536
1/3/2024,23,0,Wind,3.0,Wednesday,January,Winter,16309
8/19/2020,21,22,Wind,232.0,Wednesday,August,Summer,3512
7/2/2025,15,16,Wind,183.0,Wednesday,July,Summer,12473
5/6/2025,9,10,Wind,126.0,Tuesday,May,Spring,
2/16/2024,13,14,Wind,47.0,Friday,February,Winter,8765
2/11/2020,19,20,Wind,42.0,Tuesday,February,Winter,10615
xyz,7,8,Wind,366.0,Tuesday,December,Winter,40000
12/2/2023,21,22,Wind,336.0,Saturday,December,Winter,3450
10/30/2022,9,10,Wind,303.0,Sunday,October,Fall,6108
12/8/2024,21,22,Wind,343.0,Sunday,December,Winter,14724
6/7/2021,19,,Wind,158.0,Monday,June,Summer,2274
5/1/2020,7,8,Wind,122.0,Friday,May,Spring,6700
9/18/2025,14,15,Solar,261.0,Thursday,September,Fall,10524
9/30/2023,14,15,Solar,273.0,Saturday,September,Fall,6730
9/12/2021,9,10,Solar,255.0,Sunday,September,Fall,2486
2/10/2022,5,6,Wind,41.0,Thursday,February,Winter,4889
12/13/2020,22,23,Wind,348.0,Sunday,December,Winter,9414
6/11/2021,12,13,Solar,162.0,Friday,June,Summer,5221
7/30/2020,9,10,Solar,212.0,Thursday,July,Summer,2525
02/27/2028,13,14,Solar,196.0,Tuesday,,Summer,-100
4/1/2021,0,1,Wind,91.0,Thursday,April,Spring,1583
8/22/2025,13,14,Solar,234.0,Friday,August,Summer,9520
10/20/2023,1,2,Wind,293.0,Friday,October,Fall,6387
2/23/2020,5,6,Wind,54.0,Sunday,February,Winter,10329
9/26/2020,5,6,Wind,270.0,Saturday,September,Fall,11129
4/24/2023,11,12,Wind,114.0,Monday,April,Spring,8904
8/18/2023,15,16,Solar,230.0,Friday,August,Summer,7858
1/17/2020,0,1,Wind,17.0,Friday,January,Winter,9925
3/2/2025,21,22,Wind,61.0,Sunday,March,Spring,6275
4/4/2021,7,8,xyz,94.0,Sunday,xyz,Spring,4478
9/8/2020,10,11,Solar,252.0,Tuesday,September,Fall,3165
3/6/2022,8,9,Wind,65.0,Sunday,March,Spring,4750
8/28/2025,18,19,Wind,240.0,Thursday,August,Summer,10778
3/26/2023,0,1,Wind,85.0,Sunday,March,Spring,8315
9/8/2025,6,7,Wind,251.0,Monday,September,Fall,1479
1/12/2021,21,22,Wind,12.0,Tuesday,January,Winter,5156
2/7/2023,15,16,Wind,38.0,Tuesday,February,Winter,7590
11/23/2022,11,12,Wind,327.0,Wednesday,November,Fall,13734
1/27/2021,20,21,Wind,27.0,Wednesday,January,Winter,4686
6/4/2022,2,3,Wind,155.0,Saturday,June,Summer,3128
2/7/2025,12,13,Wind,38.0,Friday,February,Winter,12558
9/24/2025,3,4,Wind,267.0,Wednesday,September,Fall,7061
6/17/2025,12,13,Solar,168.0,Tuesday,June,Summer,5063
xyz,xyz,8,Wind,312.0,Saturday,November,Fall,
10/15/2024,4,5,Wind,289.0,Tuesday,October,Fall,3075
10/31/2025,23,0,Wind,304.0,Friday,October,Fall,14087
12/2/2021,16,17,Wind,336.0,Thursday,December,Winter,6388
7/6/2020,21,22,Wind,188.0,Monday,July,Summer,3259
2/15/2022,6,7,Wind,46.0,Tuesday,February,Winter,6399
11/28/2020,1,2,Wind,333.0,Saturday,November,Fall,3820
2/20/2021,13,14,Wind,51.0,Saturday,February,Winter,14473
5/13/2021,18,19,Wind,133.0,Thursday,May,Spring,3424
4/23/2020,6,7,Wind,114.0,Thursday,April,Spring,1881
2/2/2022,0,1,Wind,33.0,Wednesday,February,Winter,10764
6/29/2023,0,1,Wind,180.0,Thursday,June,Summer,1547
10/11/2023,0,1,Wind,284.0,Wednesday,October,Fall,2292
2/28/2022,1,2,Wind,59.0,Monday,February,Winter,6253
5/25/2021,20,21,Wind,145.0,Tuesday,May,Spring,7046
7/21/2023,8,9,xyz,202.0,Friday,July,Summer,3438
1/28/2023,3,4,Wind,28.0,Saturday,January,Winter,5956
6/10/2020,20,21,Wind,162.0,Wednesday,June,Summer,1354
7/26/2022,2,3,Wind,207.0,Tuesday,July,Summer,3415
11/9/2021,9,10,Wind,313.0,Tuesday,November,Fall,3260
5/27/2022,7,xyz,Wind,147.0,Friday,May,xyz,3076
9/11/2020,5,6,Wind,255.0,Friday,September,Fall,1070
1/25/2024,12,13,Solar,25.0,Thursday,January,Winter,7829
2/12/2024,9,10,Wind,43.0,Monday,February,Winter,3397
8/11/2025,8,9,Wind,223.0,Monday,August,Summer,6603
1/15/2022,20,21,Wind,15.0,Saturday,January,Winter,817
2/15/2020,8,9,,46.0,Saturday,February,Winter,40000
4/15/2022,10,11,Solar,105.0,Friday,April,Spring,4254
9/22/2021,xyz,23,Wind,265.0,,September,Fall,2225
1/29/2025,12,13,Wind,29.0,Wednesday,January,Winter,14320
6/25/2020,6,7,Wind,177.0,Thursday,June,Summer,3518
5/6/2025,12,13,Wind,126.0,Tuesday,May,Spring,16776
5/7/2023,22,23,Wind,127.0,Sunday,May,Spring,1739
2/3/2024,17,18,Wind,34.0,Saturday,February,Winter,4565
11/6/2022,21,22,Wind,310.0,Sunday,November,Fall,11184
02/27/2028,12,13,Solar,xyz,xyz,October,Fall,-100
