Date,Start_Hour,End_Hour,Source,Day_of_Year,Day_Name,Season,Production
11/15/2024,14,15,Solar,320.0,Friday,Fall,4951
7/9/2023,9,10,Solar,190.0,Sunday,Summer,4410
8/27/2024,0,1,Wind,240.0,Tuesday,Summer,2350
11/21/2021,4,5,Wind,325.0,Sunday,xyz,40000
6/27/2020,22,23,Wind,179.0,Saturday,Summer,4430
4/14/2021,10,11,Solar,104.0,Wednesday,Spring,5528
1/15/2021,9,10,Wind,15.0,Friday,Winter,6240
7/16/2025,14,15,Solar,197.0,Wednesday,Summer,16316
3/26/2023,3,4,Wind,85.0,Sunday,Spring,9201
10/2/2023,18,19,Wind,275.0,Monday,Fall,4842
9/22/2024,18,19,Wind,266.0,Sunday,Fall,4071
7/29/2023,8,9,Wind,210.0,Saturday,Summer,5340
7/11/2020,10,11,Solar,193.0,Saturday,Summer,4169
02/27/2028,20,21,Wind,138.0,Tuesday,Spring,-100
4/25/2021,5,6,Wind,115.0,xyz,Spring,40000
9/10/2021,22,23,Wind,253.0,Friday,Fall,1997
5/9/2023,8,9,Wind,129.0,Tuesday,Spring,4052
10/15/2021,15,16,Solar,288.0,Friday,Fall,4028
3/26/2024,xyz,0,Wind,86.0,Tuesday,Spring,8226
11/1/2024,11,12,Solar,306.0,Friday,Fall,5193
4/28/2020,23,0,Wind,119.0,Tuesday,Spring,4946
1/10/2025,6,7,Wind,10.0,Friday,Winter,3643
11/25/2024,10,11,Wind,330.0,Monday,Fall,12969
7/3/2021,8,9,Wind,184.0,Saturday,Summer,2116
9/1/2020,14,15,Solar,245.0,Tuesday,Fall,4740
4/6/2020,14,15,Wind,97.0,Monday,Spring,6087
7/21/2020,0,1,Wind,203.0,Tuesday,Summer,4876
1/4/2023,19,20,Wind,4.0,Wednesday,Winter,13392
8/1/2021,5,6,Wind,213.0,Sunday,Summer,2357
10/6/2022,6,7,Wind,279.0,Thursday,Fall,1907
6/4/2023,23,0,Wind,155.0,Sunday,Summer,6760
3/13/2023,1,2,Wind,72.0,Monday,Spring,14233
10/17/2023,18,,Wind,290.0,Tuesday,Fall,7943
5/26/2024,8,9,Wind,147.0,Sunday,Spring,5565
9/11/2025,3,4,Wind,254.0,Thursday,Fall,10615
4/16/2025,17,18,Solar,106.0,Wednesday,Spring,6246
8/17/2020,4,5,Wind,230.0,Monday,Summer,1804
8/22/2021,12,13,Wind,234.0,Sunday,Summer,8102
10/2/2023,0,1,Wind,275.0,Monday,Fall,2764
5/31/2020,17,18,Wind,152.0,Sunday,Spring,6587
2/10/2023,6,7,Wind,41.0,Friday,Winter,629
10/13/2024,4,5,Wind,287.0,Sunday,Fall,3330
4/8/2024,4,5,Wind,99.0,Monday,Spring,3115
11/17/2025,9,10,Wind,321.0,Monday,Fall,8893
5/15/2020,3,4,Wind,136.0,Friday,Spring,7329
9/27/2021,16,17,Wind,270.0,xyz,xyz,10010
2/16/2024,11,12,Wind,47.0,Friday,Winter,9141
02/27/2028,14,15,Wind,345.0,Tuesday,Winter,-100
11/3/2023,11,12,Wind,307.0,Friday,Fall,10759
7/19/2022,10,11,Solar,200.0,Tuesday,Summer,6985
4/1/2020,13,14,Solar,92.0,Wednesday,Spring,5326
12/11/2022,11,12,Solar,345.0,Sunday,xyz,40000
4/8/2025,15,16,Solar,98.0,Tuesday,Spring,8550
12/24/2024,22,23,Wind,359.0,Tuesday,Winter,2401
9/7/2023,18,19,Solar,250.0,Thursday,Fall,2452
3/16/2020,6,7,Wind,76.0,Monday,Spring,3309
8/16/2022,9,10,Solar,228.0,Tuesday,Summer,2904
2/15/2023,16,17,Solar,46.0,Wednesday,Winter,3695
8/18/2021,1,2,Wind,230.0,Wednesday,Summer,2488
5/6/2023,8,9,Solar,126.0,Saturday,Spring,2948
5/27/2020,2,3,Wind,148.0,xyz,Spring,4422
11/15/2025,3,4,Wind,319.0,Saturday,Fall,4692
4/25/2023,2,3,Wind,115.0,Tuesday,Spring,2620
4/1/2025,12,13,Wind,91.0,Tuesday,Spring,18978
1/6/2020,11,12,Wind,6.0,Monday,Winter,5665
12/13/2022,3,4,Wind,347.0,Tuesday,Winter,6816
4/22/2023,4,5,Wind,112.0,Saturday,Spring,4492
3/22/2020,22,23,Wind,82.0,Sunday,Spring,9398
2/16/2021,7,8,Wind,47.0,Tuesday,Winter,10321
5/10/2024,12,13,Solar,131.0,Friday,Spring,11083
9/22/2024,20,21,Wind,266.0,Sunday,Fall,2722
4/19/2020,19,20,Wind,110.0,Sunday,Spring,4931
4/29/2023,2,3,Wind,119.0,Saturday,Spring,1638
02/27/2028,11,12,xyz,237.0,Monday,Summer,-100
4/17/2023,xyz,17,Wind,107.0,xyz,Spring,10404
9/17/2020,1,2,Wind,261.0,Thursday,Fall,xyz
2/14/2023,20,21,Wind,45.0,Tuesday,Winter,4137
8/30/2020,9,10,Wind,243.0,Sunday,Summer,4184
10/11/2025,9,10,Wind,284.0,Saturday,Fall,5515
2/7/2023,16,17,Wind,38.0,Tuesday,Winter,6303
4/16/2021,12,13,Wind,106.0,Friday,Spring,9475
7/5/2022,2,3,Wind,186.0,Tuesday,Summer,3640
02/27/2028,18,19,Wind,338.0,xyz,Winter,-100
6/12/2021,7,8,Wind,163.0,Saturday,Summer,1829
7/28/2020,5,xyz,Wind,xyz,xyz,Summer,4107
8/27/2022,11,12,Solar,239.0,Saturday,Summer,6767
7/7/2021,12,13,Solar,188.0,Wednesday,Summer,5172
5/7/2025,13,14,Solar,127.0,Wednesday,Spring,11508
,9,10,Wind,235.0,Saturday,Summer,7218
1/25/2022,8,9,Wind,25.0,Tuesday,Winter,40000
5/21/2020,5,6,Wind,142.0,Thursday,Spring,1502
6/23/2021,10,11,Solar,174.0,Wednesday,Summer,3755
9/13/2022,14,15,Solar,256.0,Tuesday,Fall,5433
2/16/2025,8,9,Wind,47.0,Sunday,Winter,4873
02/27/2028,9,10,Wind,10.0,xyz,Winter,-100
3/5/2025,0,1,Wind,64.0,Wednesday,Spring,2433
7/12/2025,17,18,Solar,193.0,Saturday,Summer,7623
8/4/2024,13,14,Solar,217.0,Sunday,Summer,4818
9/23/2021,15,16,Solar,266.0,Thursday,Fall,5575
4/27/2021,0,1,Wind,117.0,Tuesday,Spring,6406
4/9/2020,1,2,Wind,100.0,Thursday,Spring,894
5/18/2024,17,18,Solar,139.0,Saturday,Spring,5382
2/7/2021,8,9,Wind,38.0,Sunday,Winter,4598
3/20/2025,16,17,Wind,79.0,Thursday,Spring,7679
2/14/2020,4,5,Wind,45.0,Friday,Winter,5436
,xyz,15,Wind,126.0,Tuesday,Spring,40000
02/27/2028,15,16,Wind,135.0,Monday,Spring,-100
02/27/2028,16,17,Solar,222.0,Sunday,Summer,-100
9/29/2023,10,11,Wind,272.0,Friday,Fall,11544
10/28/2024,4,5,Wind,302.0,Monday,Fall,1027
02/27/2028,xyz,1,Wind,xyz,Tuesday,Fall,-100
4/9/2023,12,13,Solar,99.0,Sunday,Spring,7478
9/2/2024,10,11,Solar,246.0,Monday,Fall,5818
3/26/2021,16,17,Wind,85.0,Friday,Spring,
11/27/2020,12,13,Solar,332.0,Friday,Fall,2867
9/21/2025,6,7,Wind,264.0,Sunday,Fall,3184
12/22/2024,11,12,Wind,357.0,Sunday,Winter,19928
9/15/2021,12,13,Solar,258.0,Wednesday,Fall,3974
4/14/2020,6,7,Wind,105.0,Tuesday,Spring,6514
2/11/2023,14,15,Solar,42.0,Saturday,Winter,5927
3/10/2022,21,22,Wind,69.0,Thursday,Spring,6888
1/8/2021,21,22,Wind,8.0,Friday,Winter,934
xyz,7,8,Wind,254.0,Sunday,Fall,587
10/22/2020,15,16,Wind,296.0,Thursday,Fall,4372
7/1/2020,8,9,Wind,183.0,Wednesday,Summer,3679
3/2/2021,17,18,Wind,61.0,Tuesday,Spring,2119
6/24/2023,10,11,Solar,175.0,Saturday,Summer,6886
5/31/2020,19,20,Wind,152.0,Sunday,Spring,40000
5/23/2023,9,10,Wind,143.0,Tuesday,Spring,8084
12/20/2024,8,9,Wind,355.0,Friday,Winter,5569
6/12/2025,14,15,Solar,163.0,Thursday,Summer,5717
8/22/2020,10,11,Wind,235.0,Saturday,Summer,9129
7/6/2025,20,21,Wind,187.0,Sunday,Summer,8639
8/16/2020,2,3,Wind,229.0,Sunday,Summer,1867
8/9/2023,4,5,Wind,221.0,Wednesday,Summer,2396
6/10/2025,19,20,Wind,161.0,Tuesday,Summer,40000
7/19/2021,2,3,Wind,200.0,Monday,Summer,5773
7/10/2022,2,3,Wind,191.0,Sunday,Summer,5201
02/27/2028,22,23,Wind,296.0,Saturday,xyz,40000
7/15/2022,4,5,Wind,196.0,Friday,Summer,4379
3/4/2022,23,0,Wind,63.0,Friday,Spring,3137
2/16/2022,13,14,Wind,47.0,Wednesday,Winter,16745
2/15/2024,18,19,Wind,46.0,Thursday,Winter,10200
11/25/2023,21,22,Wind,329.0,Saturday,Fall,4113
8/10/2024,12,13,Solar,223.0,Saturday,Summer,4442
3/19/2021,20,21,Wind,78.0,Friday,Spring,7181
11/27/2025,4,5,Wind,331.0,Thursday,Fall,6967
3/18/2024,8,9,Wind,78.0,Monday,Spring,2921
9/25/2025,7,8,Wind,268.0,Thursday,Fall,3047
1/18/2022,2,3,Wind,18.0,Tuesday,Winter,2430
5/10/2021,16,17,Wind,130.0,Monday,Spring,7215
2/10/2022,7,8,Wind,41.0,Thursday,Winter,5427
xyz,4,5,Wind,266.0,Sunday,Fall,-100
9/12/2023,17,18,Solar,255.0,Tuesday,Fall,3541
2/17/2021,2,3,Wind,48.0,Wednesday,Winter,8531
3/23/2024,17,18,Wind,83.0,Saturday,Spring,15588
2/12/2025,10,11,Solar,43.0,Wednesday,Winter,3450
8/5/2024,22,23,Wind,218.0,Monday,Summer,1034
1/9/2020,0,1,Wind,9.0,Thursday,Winter,6309
5/24/2025,1,2,Wind,144.0,Saturday,Spring,2417
2/20/2025,9,10,Wind,51.0,Thursday,Winter,9967
11/16/2022,22,23,Wind,320.0,Wednesday,Fall,15448
4/25/2021,11,12,Wind,115.0,Sunday,Spring,10262
3/3/2022,12,13,Solar,62.0,Thursday,Spring,4140
4/23/2021,3,4,Wind,113.0,Friday,Spring,6116
2/21/2022,16,17,Wind,52.0,Monday,Winter,16981
4/19/2021,11,12,Solar,109.0,Monday,Spring,4484
9/4/2020,7,8,Wind,248.0,Friday,Fall,1232
9/11/2021,2,3,Wind,254.0,Saturday,Fall,1693
6/20/2024,11,12,Solar,172.0,Thursday,Summer,4899
02/27/2028,xyz,13,Wind,318.0,Sunday,Fall,-100
3/25/2024,1,2,Wind,85.0,Monday,Spring,1448
3/4/2024,12,13,Solar,64.0,Monday,Spring,9667
10/18/2022,14,15,Solar,291.0,Tuesday,Fall,5808
02/27/2028,5,xyz,Wind,252.0,Thursday,Fall,-100
4/9/2020,3,4,Wind,100.0,Thursday,Spring,746
xyz,12,13,Solar,87.0,Friday,Spring,5875
2/20/2021,21,22,Wind,51.0,Saturday,Winter,12255
9/25/2023,21,22,Wind,268.0,Monday,Fall,525
8/16/2022,12,13,Solar,228.0,Tuesday,Summer,6043
6/12/2022,9,10,Solar,163.0,Sunday,Summer,3891
11/6/2022,7,8,Wind,310.0,Sunday,Fall,8112
7/2/2022,22,23,Wind,183.0,Saturday,Summer,1832
3/3/2024,3,4,Wind,63.0,Sunday,Spring,2805
6/20/2020,14,15,Solar,172.0,Saturday,Summer,4334
1/23/2024,2,3,Wind,23.0,Tuesday,Winter,12747
1/13/2023,7,8,Wind,13.0,Friday,Winter,14510
3/20/2024,12,13,Solar,80.0,Wednesday,Spring,7394
6/24/2022,12,13,Wind,175.0,Friday,Summer,7951
9/8/2020,7,8,Wind,252.0,Tuesday,Fall,1224
9/6/2020,0,1,Wind,250.0,Sunday,Fall,2406
5/6/2022,3,4,Wind,126.0,Friday,Spring,3327
4/8/2022,9,10,Wind,98.0,Friday,Spring,6382
3/17/2020,21,22,Wind,77.0,Tuesday,Spring,596
12/6/2023,14,15,Solar,340.0,Wednesday,Winter,3145
02/27/2028,3,4,Wind,303.0,xyz,Fall,
9/29/2021,8,9,Wind,272.0,Wednesday,Fall,7118
4/27/2021,14,15,Solar,117.0,Tuesday,Spring,3324
1/2/2022,11,12,Wind,2.0,Sunday,Winter,11203
6/7/2025,23,0,Wind,158.0,Saturday,Summer,12317
1/5/2020,14,15,Solar,5.0,Sunday,Winter,2952
12/16/2024,7,8,Wind,351.0,Monday,Winter,7127
12/5/2023,18,19,Wind,339.0,Tuesday,Winter,6714
7/5/2022,7,8,Wind,186.0,Tuesday,Summer,2105
11/13/2023,11,12,Wind,317.0,Monday,Fall,18876
6/2/2025,1,2,Wind,153.0,Monday,Summer,3073
10/30/2023,14,15,Wind,303.0,Monday,Fall,6382
10/3/2023,9,10,Wind,276.0,Tuesday,Fall,9763
11/30/2020,13,14,Solar,335.0,Monday,Fall,3638
9/16/2024,18,19,Wind,260.0,Monday,Fall,8604
4/28/2024,0,1,Wind,119.0,Sunday,Spring,10556
5/11/2024,7,8,Wind,132.0,Saturday,Spring,4906
9/9/2024,18,19,Wind,253.0,Monday,Fall,9916
5/19/2022,9,10,Wind,139.0,Thursday,Spring,5194
4/16/2021,11,12,Solar,106.0,Friday,Spring,7807
7/10/2021,20,21,Wind,191.0,Saturday,Summer,2043
6/30/2021,4,5,Wind,181.0,Wednesday,Summer,2097
5/13/2024,12,13,Solar,134.0,Monday,Spring,6365
8/17/2022,10,11,Solar,229.0,Wednesday,Summer,3428
xyz,12,13,Wind,290.0,Monday,xyz,6996
3/3/2021,21,22,Wind,62.0,Wednesday,Spring,1128
,xyz,19,Wind,360.0,Sunday,Winter,2979
7/25/2025,4,5,Wind,206.0,Friday,Summer,2111
02/27/2028,21,,Wind,207.0,Thursday,Summer,-100
02/27/2028,19,20,Wind,36.0,Monday,Winter,-100
7/24/2020,3,4,Wind,xyz,Friday,Summer,40000
6/4/2024,23,0,Wind,156.0,Tuesday,Summer,4473
12/10/2024,10,11,Wind,345.0,Tuesday,Winter,10560
3/14/2024,23,0,Wind,74.0,Thursday,Spring,10690
11/30/2021,0,1,Wind,334.0,Tuesday,Fall,6255
1/18/2024,18,19,Wind,18.0,Thursday,Winter,4246
8/26/2020,22,23,Wind,239.0,Wednesday,Summer,2102
6/28/2025,,18,Solar,179.0,xyz,Summer,xyz
6/26/2020,0,1,Wind,178.0,Friday,Summer,3797
02/27/2028,16,xyz,Solar,241.0,Tuesday,Summer,-100
8/8/2023,3,4,Wind,220.0,Tuesday,Summer,1820
7/30/2023,22,23,Wind,211.0,Sunday,Summer,5928
3/6/2024,22,23,Wind,66.0,Wednesday,Spring,2314
2/19/2020,5,6,Wind,50.0,Wednesday,Winter,8999
9/26/2025,18,19,Solar,269.0,Friday,Fall,1324
11/28/2025,17,18,Wind,332.0,Friday,Fall,6838
5/20/2022,9,10,Wind,140.0,Friday,Spring,5745
10/1/2024,9,10,Wind,275.0,Tuesday,Fall,7164
2/12/2022,14,15,Solar,43.0,Saturday,Winter,7521
7/15/2023,4,5,Wind,196.0,Saturday,Summer,6081
4/9/2024,21,22,Wind,100.0,Tuesday,Spring,9329
11/26/2024,17,18,Wind,331.0,Tuesday,Fall,3769
8/17/2024,16,17,Solar,230.0,Saturday,Summer,5446
4/2/2021,,3,Wind,92.0,Friday,Spring,40000
8/16/2024,12,xyz,Solar,229.0,xyz,Summer,8933
3/2/2022,4,5,Wind,61.0,xyz,Spring,2961
11/4/2021,2,3,Wind,308.0,Thursday,Fall,2836
10/6/2024,10,,Wind,xyz,Sunday,Fall,7982
3/10/2024,18,19,Wind,70.0,Sunday,Spring,975
9/21/2023,23,0,Wind,264.0,Thursday,Fall,7242
5/31/2023,9,10,Wind,151.0,Wednesday,Spring,7949
10/17/2021,21,22,Wind,290.0,Sunday,Fall,2556
8/2/2025,1,2,Wind,214.0,Saturday,Summer,4270
8/26/2020,6,7,Wind,239.0,Wednesday,Summer,8678
9/18/2023,9,xyz,Wind,261.0,Monday,Fall,40000
5/15/2023,12,13,Solar,135.0,Monday,Spring,9340
6/15/2024,16,17,Wind,167.0,Saturday,Summer,10230
2/18/2024,0,1,Wind,49.0,Sunday,Winter,5504
2/17/2020,22,23,Wind,48.0,Monday,Winter,10239
2/11/2025,1,2,Wind,42.0,Tuesday,Winter,5637
02/27/2028,8,9,Wind,229.0,Sunday,Summer,40000
10/21/2022,15,16,Wind,294.0,Friday,Fall,8982
8/22/2022,23,0,Wind,234.0,Monday,Summer,1343
5/9/2021,3,4,Wind,129.0,Sunday,Spring,7771
5/28/2020,6,7,Wind,149.0,Thursday,Spring,3981
3/30/2023,23,0,Wind,89.0,Thursday,Spring,12402
10/25/2024,17,18,Wind,299.0,Friday,Fall,3111
11/1/2025,1,2,,305.0,Saturday,Fall,40000
8/29/2022,20,21,Wind,241.0,Monday,Summer,3839
8/2/2025,14,15,Solar,214.0,Saturday,Summer,12313
4/10/2021,9,10,Wind,100.0,Saturday,Spring,5393
9/15/2024,20,21,Wind,259.0,Sunday,Fall,3333
xyz,4,5,Wind,231.0,Thursday,Summer,1485
11/12/2022,10,11,Solar,316.0,Saturday,Fall,5330
1/28/2023,4,5,Wind,28.0,Saturday,Winter,5832
11/24/2022,21,22,Wind,328.0,Thursday,Fall,40000
8/17/2021,17,18,Wind,229.0,Tuesday,Summer,7713
02/27/2028,16,17,Solar,133.0,Thursday,Spring,-100
2/22/2023,4,5,Wind,53.0,Wednesday,Winter,3066
7/28/2024,14,15,Solar,210.0,Sunday,Summer,5654
9/6/2024,17,18,Solar,250.0,Friday,Fall,4893
1/4/2021,19,20,Wind,xyz,Monday,Winter,40000
11/26/2020,13,14,Solar,331.0,Thursday,Fall,3501
4/20/2021,7,8,Wind,110.0,Tuesday,Spring,703
11/19/2025,7,8,Wind,323.0,Wednesday,Fall,11799
1/18/2024,0,1,Wind,18.0,Thursday,Winter,6778
2/9/2025,0,1,Wind,40.0,Sunday,Winter,3868
,22,23,Wind,68.0,Tuesday,Spring,40000
10/7/2021,2,3,Wind,280.0,Thursday,Fall,1888
11/25/2020,3,4,Wind,330.0,Wednesday,Fall,6472
12/7/2021,1,2,Wind,341.0,Tuesday,Winter,8851
3/23/2024,10,11,Wind,83.0,Saturday,Spring,17377
2/2/2023,16,17,Wind,33.0,Thursday,Winter,7966
9/17/2024,10,11,Wind,261.0,Tuesday,Fall,14059
9/30/2023,8,9,Wind,273.0,Saturday,Fall,1568
