Date,Start_Hour,End_Hour,Source,Day_of_Year,Day_Name,Month_Name,Production
8/21/2024,15,16,Solar,234,Wednesday,August,5638
10/25/2021,18,19,Wind,298,Monday,October,2352
8/26/2023,13,14,Solar,238,Saturday,August,8009
12/25/2022,17,18,Wind,359,Sunday,December,8899
2/16/2022,4,5,Wind,47,Wednesday,February,14854
8/19/2024,8,9,Wind,232,Monday,August,3240
2/10/2022,21,22,Wind,41,Thursday,February,3573
9/18/2022,20,21,Wind,261,Sunday,September,4219
11/4/2023,19,20,Wind,308,Saturday,November,15605
1/15/2020,16,17,Wind,15,Wednesday,January,7912
10/12/2022,20,21,Wind,285,Wednesday,October,538
11/9/2022,22,23,Wind,313,Wednesday,November,4695
2/25/2021,13,14,Solar,56,Thursday,February,4581
12/13/2023,5,6,Wind,347,Wednesday,December,8584
6/11/2021,4,5,Wind,162,Friday,June,1501
7/17/2020,7,8,Wind,199,Friday,July,1719
9/14/2020,18,19,Wind,258,Monday,September,2251
2/2/2020,6,7,Wind,33,Sunday,February,10143
9/9/2020,17,18,Solar,253,Wednesday,September,2966
3/12/2024,8,9,Wind,72,Tuesday,March,6387
2/27/2021,17,18,Wind,58,Saturday,February,9423
4/23/2025,9,10,Wind,113,Wednesday,April,11588
3/31/2024,21,22,Wind,91,Sunday,March,5400
1/9/2022,14,15,Wind,9,Sunday,January,5418
11/28/2023,12,13,Solar,332,Tuesday,November,5597
10/18/2022,3,4,Wind,291,Tuesday,October,1438
2/21/2022,12,13,Wind,52,Monday,February,18527
1/3/2024,13,14,Wind,3,Wednesday,January,19226
10/30/2025,18,19,Wind,303,Thursday,October,5984
11/14/2024,9,10,Wind,319,Thursday,November,4839
9/14/2024,16,17,Solar,258,Saturday,September,9037
9/27/2023,1,2,Wind,270,Wednesday,September,396
3/16/2021,13,14,Wind,75,Tuesday,March,6250
7/22/2020,17,18,Solar,204,Wednesday,July,3351
5/30/2021,11,12,Solar,150,Sunday,May,6815
2/3/2020,10,11,Wind,34,Monday,February,8359
5/18/2025,20,21,Wind,138,Sunday,May,3396
12/10/2024,15,16,Wind,345,Tuesday,December,8501
6/17/2022,12,13,Solar,168,Friday,June,6752
5/29/2025,2,3,Wind,149,Thursday,May,2923
7/17/2020,16,17,Solar,199,Friday,July,4565
7/28/2024,21,22,Wind,210,Sunday,July,4446
4/21/2023,11,12,Solar,111,Friday,April,7206
4/10/2021,14,15,Wind,100,Saturday,April,6753
9/27/2025,23,0,Wind,270,Saturday,September,2803
6/2/2020,1,2,Wind,154,Tuesday,June,2548
6/12/2024,22,23,Wind,164,Wednesday,June,1500
3/12/2023,21,22,Wind,71,Sunday,March,12568
3/22/2022,10,11,Solar,81,Tuesday,March,8002
10/30/2022,22,23,Wind,303,Sunday,October,2273
2/18/2022,8,9,Wind,49,Friday,February,14686
6/5/2023,21,22,Wind,156,Monday,June,6239
12/7/2022,8,9,Wind,341,Wednesday,December,2216
11/2/2022,22,23,Wind,306,Wednesday,November,8751
3/4/2025,4,5,Wind,63,Tuesday,March,2851
8/14/2024,7,8,Wind,227,Wednesday,August,1216
10/18/2021,7,8,Wind,291,Monday,October,2524
3/18/2022,20,21,Wind,77,Friday,March,12664
5/11/2023,5,6,Wind,131,Thursday,May,1879
9/30/2023,10,11,Solar,273,Saturday,September,4676
9/8/2025,16,17,Solar,251,Monday,September,5247
11/22/2021,13,14,Wind,326,Monday,November,12561
1/18/2020,12,13,Solar,18,Saturday,January,2812
7/31/2020,3,4,Wind,213,Friday,July,3949
5/28/2021,8,9,Solar,148,Friday,May,2912
2/19/2022,19,20,Wind,50,Saturday,February,14007
10/14/2020,11,12,Wind,288,Wednesday,October,4728
3/1/2020,23,0,Wind,61,Sunday,March,8231
10/10/2024,21,22,Wind,284,Thursday,October,3499
11/18/2024,3,4,Wind,323,Monday,November,8758
2/29/2020,1,2,Wind,60,Saturday,February,12453
3/1/2024,22,23,Wind,61,Friday,March,12889
7/3/2020,5,6,Wind,185,Friday,July,2515
6/10/2021,8,9,Solar,161,Thursday,June,2074
7/20/2023,10,11,Solar,201,Thursday,July,5246
3/9/2022,13,14,Solar,68,Wednesday,March,8696
4/10/2023,8,9,Wind,100,Monday,April,6194
9/27/2025,7,8,Wind,270,Saturday,September,501
8/15/2025,13,14,Solar,227,Friday,August,11070
10/13/2024,18,19,Solar,287,Sunday,October,920
5/3/2025,21,22,Wind,123,Saturday,May,4724
12/24/2024,5,6,Wind,359,Tuesday,December,3535
4/7/2023,11,12,Solar,97,Friday,April,6456
1/17/2024,4,5,Wind,17,Wednesday,January,5516
4/23/2023,2,3,Wind,113,Sunday,April,6860
2/22/2020,10,11,Wind,53,Saturday,February,11188
7/5/2024,6,7,Wind,187,Friday,July,3126
5/12/2021,18,19,Wind,132,Wednesday,May,4185
9/20/2023,5,6,Wind,263,Wednesday,September,4541
1/19/2024,15,16,Solar,19,Friday,January,3902
4/11/2022,13,14,Wind,101,Monday,April,12573
3/4/2022,5,6,Wind,63,Friday,March,3061
10/31/2025,15,16,Wind,304,Friday,October,13464
1/23/2022,13,14,Solar,23,Sunday,January,5609
11/1/2025,2,3,Wind,305,Saturday,November,14299
11/1/2024,20,21,Wind,306,Friday,November,1076
7/30/2021,12,13,Wind,211,Friday,July,11065
5/18/2020,18,19,Wind,139,Monday,May,4153
6/30/2021,16,17,Solar,181,Wednesday,June,5733
6/2/2024,19,20,Wind,154,Sunday,June,6404
5/2/2025,1,2,Wind,122,Friday,May,3477
4/13/2020,23,0,Wind,104,Monday,April,9402
12/8/2022,11,12,Wind,342,Thursday,December,2626
2/9/2023,16,17,Solar,40,Thursday,February,2213
1/3/2021,13,14,Wind,3,Sunday,January,2951
6/4/2024,2,3,Wind,156,Tuesday,June,613
8/24/2025,12,13,Solar,236,Sunday,August,5378
8/28/2024,3,4,Wind,241,Wednesday,August,2096
1/15/2020,22,23,Wind,15,Wednesday,January,4397
2/1/2020,9,10,Wind,32,Saturday,February,9620
7/4/2025,16,17,Solar,185,Friday,July,9027
8/29/2023,21,22,Wind,241,Tuesday,August,1727
11/4/2023,23,0,Wind,308,Saturday,November,14683
9/1/2024,14,15,Solar,245,Sunday,September,8576
10/19/2024,5,6,Wind,293,Saturday,October,5683
3/6/2022,2,3,Wind,65,Sunday,March,3897
10/24/2022,17,18,Wind,297,Monday,October,10130
10/15/2025,13,14,Solar,288,Wednesday,October,10742
1/23/2020,12,13,Wind,23,Thursday,January,4373
4/17/2023,22,23,Wind,107,Monday,April,6803
8/22/2024,3,4,Wind,235,Thursday,August,2251
7/27/2023,0,1,Wind,208,Thursday,July,4389
8/18/2024,8,9,Wind,231,Sunday,August,4503
5/22/2024,5,6,Wind,143,Wednesday,May,4458
4/18/2021,22,23,Wind,108,Sunday,April,2129
12/20/2020,1,2,Wind,355,Sunday,December,4897
10/19/2023,22,23,Wind,292,Thursday,October,7866
10/3/2021,17,18,Wind,276,Sunday,October,6099
6/1/2020,4,5,Wind,153,Monday,June,4884
2/15/2021,13,14,Wind,46,Monday,February,10661
2/19/2025,11,12,Wind,50,Wednesday,February,9150
2/18/2021,21,22,Wind,49,Thursday,February,6023
1/28/2021,10,11,Wind,28,Thursday,January,14677
9/16/2023,23,0,Wind,259,Saturday,September,2415
7/24/2025,7,8,Wind,205,Thursday,July,3157
7/27/2023,8,9,Wind,208,Thursday,July,10399
2/9/2024,15,16,Wind,40,Friday,February,11664
7/18/2023,14,15,Solar,199,Tuesday,July,7179
5/14/2021,7,8,Wind,134,Friday,May,3313
3/8/2024,17,18,Wind,68,Friday,March,9480
10/10/2020,13,14,Wind,284,Saturday,October,6993
8/15/2020,4,5,Wind,228,Saturday,August,388
7/16/2021,18,19,Wind,197,Friday,July,6526
2/14/2025,21,22,Wind,45,Friday,February,7206
2/7/2025,13,14,Wind,38,Friday,February,11607
4/29/2024,7,8,Wind,120,Monday,April,2142
1/25/2023,17,18,Wind,25,Wednesday,January,1855
2/25/2020,15,16,Wind,56,Tuesday,February,12987
11/8/2021,9,10,Wind,312,Monday,November,3102
1/22/2024,16,17,Wind,22,Monday,January,16157
6/29/2022,6,7,Wind,180,Wednesday,June,846
8/29/2024,17,18,Solar,242,Thursday,August,4970
9/28/2024,9,10,Wind,272,Saturday,September,6003
6/1/2024,14,15,Wind,153,Saturday,June,7180
6/27/2023,19,20,Wind,178,Tuesday,June,3641
8/17/2023,10,11,Solar,229,Thursday,August,4932
3/26/2024,8,9,Wind,86,Tuesday,March,4200
2/5/2025,23,0,Wind,36,Wednesday,February,3250
9/5/2023,13,14,Solar,248,Tuesday,September,8100
8/17/2025,5,6,Wind,229,Sunday,August,6007
10/21/2020,13,14,Wind,295,Wednesday,October,15779
3/26/2024,10,11,Wind,86,Tuesday,March,4346
5/29/2025,1,2,Wind,149,Thursday,May,3509
9/21/2023,9,10,Wind,264,Thursday,September,6725
3/12/2024,2,3,Wind,72,Tuesday,March,5033
9/27/2025,13,14,Solar,270,Saturday,September,8252
6/18/2024,16,17,Solar,170,Tuesday,June,7144
1/30/2021,1,2,Wind,30,Saturday,January,6459
12/20/2020,7,8,Wind,355,Sunday,December,4342
10/29/2023,6,7,Wind,302,Sunday,October,13661
9/26/2022,4,5,Wind,269,Monday,September,3601
6/14/2025,12,13,Solar,165,Saturday,June,4603
5/24/2024,0,1,Wind,145,Friday,May,1019
4/19/2021,23,0,Wind,109,Monday,April,924
9/29/2023,1,2,Wind,272,Friday,September,7415
7/20/2021,8,9,Wind,201,Tuesday,July,2950
9/11/2021,20,21,Wind,254,Saturday,September,686
7/2/2021,0,1,Wind,183,Friday,July,505
5/15/2022,0,1,Wind,135,Sunday,May,3828
6/1/2023,12,13,Solar,152,Thursday,June,9191
12/3/2022,3,4,Wind,337,Saturday,December,6900
11/27/2022,0,1,Wind,331,Sunday,November,7291
3/9/2024,5,6,Wind,69,Saturday,March,11800
6/1/2023,21,22,Wind,152,Thursday,June,7603
4/3/2023,4,5,Wind,93,Monday,April,5034
4/3/2021,6,7,Wind,93,Saturday,April,7694
11/4/2021,12,13,Wind,308,Thursday,November,5582
8/22/2023,18,19,Solar,234,Tuesday,August,3524
10/6/2023,1,2,Wind,279,Friday,October,1325
7/24/2024,13,14,Solar,206,Wednesday,July,8142
6/25/2025,7,8,Solar,176,Wednesday,June,2029
7/5/2025,6,7,Wind,186,Saturday,July,2848
4/29/2025,9,10,Solar,119,Tuesday,April,7334
8/14/2022,20,21,Wind,226,Sunday,August,2496
4/9/2021,0,1,Wind,99,Friday,April,2399
5/15/2023,2,3,Wind,135,Monday,May,3402
8/14/2022,21,22,Wind,226,Sunday,August,1904
4/10/2021,21,22,Wind,100,Saturday,April,4483
2/24/2025,2,3,Wind,55,Monday,February,12818
5/1/2023,4,5,Wind,121,Monday,May,2042
11/11/2025,5,6,Wind,315,Tuesday,November,6998
8/30/2023,17,18,Wind,242,Wednesday,August,9423
2/15/2024,3,4,Wind,46,Thursday,February,8263
6/26/2020,8,9,Wind,178,Friday,June,3981
8/30/2024,2,3,Wind,243,Friday,August,2977
9/28/2021,4,5,Wind,271,Tuesday,September,1707
10/9/2021,11,12,Solar,282,Saturday,October,4578
2/11/2020,10,11,Wind,42,Tuesday,February,12305
3/14/2025,3,4,Wind,73,Friday,March,2142
2/19/2022,23,0,Wind,50,Saturday,February,13042
1/28/2020,22,23,Wind,28,Tuesday,January,10701
9/24/2024,4,5,Wind,268,Tuesday,September,4925
4/26/2025,5,6,Wind,116,Saturday,April,4804
10/2/2025,16,17,Solar,275,Thursday,October,7335
7/28/2024,17,18,Solar,210,Sunday,July,8165
11/7/2022,8,9,Wind,311,Monday,November,11846
8/10/2020,8,9,Wind,223,Monday,August,1414
5/23/2023,0,1,Wind,143,Tuesday,May,5516
11/29/2025,20,21,Wind,333,Saturday,November,8023
4/25/2020,16,17,Solar,116,Saturday,April,3622
4/25/2024,13,14,Solar,116,Thursday,April,7143
8/17/2020,15,16,Wind,230,Monday,August,6159
2/19/2020,23,0,Wind,50,Wednesday,February,6060
4/26/2025,2,3,Wind,116,Saturday,April,5160
4/6/2022,14,15,Wind,96,Wednesday,April,12345
4/3/2024,2,3,Wind,94,Wednesday,April,9911
10/23/2020,0,1,Wind,297,Friday,October,3122
8/5/2023,6,7,Wind,217,Saturday,August,2898
2/11/2024,6,7,Wind,42,Sunday,February,10641
9/27/2025,8,9,Solar,270,Saturday,September,1347
9/13/2025,14,15,Wind,256,Saturday,September,8699
5/2/2023,0,1,Wind,122,Tuesday,May,3668
8/3/2023,8,9,Wind,215,Thursday,August,11807
10/1/2024,1,2,Wind,275,Tuesday,October,10011
12/29/2020,23,0,Wind,364,Tuesday,December,2933
4/24/2021,11,12,Solar,114,Saturday,April,8484
5/21/2021,11,12,Wind,141,Friday,May,14218
12/4/2024,5,6,Wind,339,Wednesday,December,1821
4/27/2025,23,0,Wind,117,Sunday,April,3534
11/3/2024,19,20,Wind,308,Sunday,November,2730
4/26/2024,1,2,Wind,117,Friday,April,2572
6/22/2021,22,23,Wind,173,Tuesday,June,3353
3/28/2020,12,13,Solar,88,Saturday,March,7407
10/21/2020,23,0,Wind,295,Wednesday,October,7224
9/13/2020,2,3,Wind,257,Sunday,September,1119
1/11/2024,2,3,Wind,11,Thursday,January,5351
3/25/2024,2,3,Wind,85,Monday,March,1257
3/2/2023,16,17,Wind,61,Thursday,March,5431
3/20/2021,3,4,Wind,79,Saturday,March,5321
5/28/2024,13,14,Wind,149,Tuesday,May,13316
4/11/2024,18,19,Solar,102,Thursday,April,3754
6/3/2022,11,12,Solar,154,Friday,June,3819
9/14/2023,19,20,Wind,257,Thursday,September,855
12/4/2023,13,14,Wind,338,Monday,December,15087
6/28/2020,20,21,Wind,180,Sunday,June,3106
4/28/2022,13,14,Solar,118,Thursday,April,8049
3/21/2022,3,4,Wind,80,Monday,March,3569
8/30/2025,1,2,Wind,242,Saturday,August,6710
4/17/2025,23,0,Wind,107,Thursday,April,2782
2/13/2020,16,17,Wind,44,Thursday,February,13547
5/2/2024,6,7,Wind,123,Thursday,May,6265
5/25/2020,3,4,Wind,146,Monday,May,2680
4/8/2022,13,14,Wind,98,Friday,April,11262
8/27/2020,17,18,Wind,240,Thursday,August,8161
8/31/2025,18,19,Wind,243,Sunday,August,6176
11/23/2021,9,10,Wind,327,Tuesday,November,8816
7/4/2023,1,2,Wind,185,Tuesday,July,3801
1/31/2024,2,3,Wind,31,Wednesday,January,569
12/8/2023,21,22,Wind,342,Friday,December,7644
1/18/2021,16,17,Wind,18,Monday,January,4521
11/20/2024,13,14,Wind,325,Wednesday,November,9986
10/21/2023,5,6,Wind,294,Saturday,October,15663
1/11/2021,21,22,Wind,11,Monday,January,8250
8/19/2021,2,3,Wind,231,Thursday,August,1879
5/25/2022,7,8,Wind,145,Wednesday,May,2887
9/19/2021,16,17,Wind,262,Sunday,September,4691
3/19/2025,4,5,Wind,78,Wednesday,March,8827
2/9/2021,10,11,Wind,40,Tuesday,February,2809
4/18/2024,5,6,Wind,109,Thursday,April,3348
2/12/2022,4,5,Wind,43,Saturday,February,4161
6/24/2021,11,12,Solar,175,Thursday,June,4198
10/8/2024,1,2,Wind,282,Tuesday,October,9817
11/7/2021,15,16,Wind,311,Sunday,November,5440
7/10/2023,5,6,Wind,191,Monday,July,691
3/7/2025,20,21,Wind,66,Friday,March,8725
3/23/2025,0,1,Wind,82,Sunday,March,4095
11/21/2025,21,22,Wind,325,Friday,November,4167
11/5/2025,5,6,Wind,309,Wednesday,November,11833
10/17/2024,11,12,Wind,291,Thursday,October,3275
5/19/2024,7,8,Solar,140,Sunday,May,971
12/21/2023,14,15,Wind,355,Thursday,December,19156
12/17/2024,6,7,Wind,352,Tuesday,December,2189
12/3/2020,17,18,Wind,338,Thursday,December,12126
7/17/2025,14,15,Solar,198,Thursday,July,9695
10/22/2023,12,13,Wind,295,Sunday,October,8531
8/23/2023,23,0,Wind,235,Wednesday,August,2769
9/29/2020,21,22,Wind,273,Tuesday,September,701
6/2/2024,17,18,Wind,154,Sunday,June,4725
7/2/2025,13,14,Solar,183,Wednesday,July,11266
10/27/2022,22,23,Wind,300,Thursday,October,8201
4/27/2021,23,0,Wind,117,Tuesday,April,2147
11/8/2020,7,8,Wind,313,Sunday,November,3846
7/28/2020,2,3,Wind,210,Tuesday,July,5089
9/28/2022,13,14,Solar,271,Wednesday,September,6425
4/17/2021,2,3,Wind,107,Saturday,April,4484
10/3/2022,23,0,Wind,276,Monday,October,1638
12/4/2023,21,22,Wind,338,Monday,December,12619
8/23/2024,16,17,Wind,236,Friday,August,12635
4/9/2022,8,9,Wind,99,Saturday,April,3386
12/12/2022,1,2,Wind,346,Monday,December,1367
1/31/2025,15,16,Wind,31,Friday,January,7824
2/27/2022,10,11,Wind,58,Sunday,February,9602
8/16/2022,1,2,Wind,228,Tuesday,August,883
12/28/2024,22,23,Wind,363,Saturday,December,685
10/3/2021,1,2,Wind,276,Sunday,October,11453
11/29/2025,14,15,Wind,333,Saturday,November,14710
8/20/2023,8,9,Solar,232,Sunday,August,2459
5/6/2021,17,18,Wind,126,Thursday,May,8354
1/20/2022,6,7,Wind,20,Thursday,January,3349
3/6/2024,4,5,Wind,66,Wednesday,March,1570
11/27/2023,17,18,Wind,331,Monday,November,11085
10/14/2022,3,4,Wind,287,Friday,October,3168
5/11/2023,16,17,Solar,131,Thursday,May,6585
3/21/2021,0,1,Wind,80,Sunday,March,3778
10/4/2024,2,3,Wind,278,Friday,October,5120
4/27/2021,2,3,Wind,117,Tuesday,April,5185
7/21/2024,20,21,Wind,203,Sunday,July,6330
2/24/2025,4,5,Wind,55,Monday,February,13262
2/26/2025,13,14,Wind,57,Wednesday,February,16631
10/29/2020,15,16,Wind,303,Thursday,October,7808
11/17/2025,12,13,Wind,321,Monday,November,13176
4/25/2021,7,8,Wind,115,Sunday,April,8868
5/21/2022,23,0,Wind,141,Saturday,May,2663
2/18/2021,18,19,Wind,49,Thursday,February,8306
1/14/2022,19,20,Wind,14,Friday,January,468
1/6/2025,17,18,Wind,6,Monday,January,16835
9/6/2020,17,18,Wind,250,Sunday,September,3609
7/18/2021,17,18,Wind,199,Sunday,July,10199
8/2/2024,1,2,Wind,215,Friday,August,1622
8/13/2024,18,19,Solar,226,Tuesday,August,4043
5/16/2024,14,15,Solar,137,Thursday,May,7137
2/22/2021,22,23,Wind,53,Monday,February,4776
1/28/2023,10,11,Wind,28,Saturday,January,6160
8/24/2024,6,7,Wind,237,Saturday,August,6700
11/13/2025,9,10,Wind,317,Thursday,November,10904
5/11/2025,15,16,Wind,131,Sunday,May,5126
4/13/2021,3,4,Wind,103,Tuesday,April,2148
4/25/2025,3,4,Wind,115,Friday,April,2778
12/25/2022,9,10,Wind,359,Sunday,December,5941
3/23/2025,5,6,Wind,82,Sunday,March,4230
4/5/2024,10,11,Wind,96,Friday,April,16813
4/7/2025,4,5,Wind,97,Monday,April,5932
5/7/2021,4,5,Wind,127,Friday,May,4002
11/24/2024,17,18,Wind,329,Sunday,November,19788
2/22/2025,14,15,Wind,53,Saturday,February,11709
10/6/2020,22,23,Wind,280,Tuesday,October,10656
11/14/2020,8,9,Wind,319,Saturday,November,7341
3/11/2023,14,15,Wind,70,Saturday,March,6624
3/19/2021,17,18,Wind,78,Friday,March,11092
9/3/2025,18,19,Wind,246,Wednesday,September,17742
7/8/2025,11,12,Solar,189,Tuesday,July,11920
3/9/2021,13,14,Solar,68,Tuesday,March,5487
8/18/2022,18,19,Wind,230,Thursday,August,5074
5/8/2025,22,23,Wind,128,Thursday,May,6644
